Application 1, Application 2, Application 3, Cores App 1, Cores App 2, Cores App 3, Parent Core App 1, Parent Core App 2, Parent Core App 3, Power Stripe 1, Power Stripe 2, Power Stripe 3, Power Stripe 4, Ratio App 1, Avg. Ratio 1, Time App 1, Avg. Time 1, Ratio App 2, Avg. Ratio 2, Time App 2, Avg. Time 2, Ratio App 3, Avg. Ratio 3, Time App 3, Avg. Time 3 
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,548,568,623,532,[0.603 0.576 0.55 0.005],0.4335,[241871 253432 264733 287064],261775,[0.646 0.525 0.398 0.319],0.472,[22243 27379 36123 45090],32708,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,576,572,668,523,[0.602 0.576 0.551 0.005],0.4335,[242074 253245 264742 286753],261703,[0.646 0.525 0.397 0.319],0.47175,[22246 27408 36103 45050],32701,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,522,563,668,537,[0.603 0.576 0.55 0.005],0.4335,[241968 253345 264738 286955],261751,[0.646 0.525 0.398 0.319],0.472,[22244 27376 36123 45067],32702,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,531,583,634,545,[0.602 0.575 0.55 0.005],0.433,[241980 253275 264677 286950],261720,[0.646 0.525 0.398 0.319],0.472,[22244 27398 36101 45073],32704,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,545,525,632,547,[0.603 0.576 0.551 0.005],0.43375,[241877 253155 264532 286876],261610,[0.646 0.525 0.398 0.319],0.472,[22243 27364 36138 45079],32706,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,544,557,642,513,[0.602 0.575 0.551 0.005],0.43325,[241972 253444 264737 286753],261726,[0.646 0.525 0.398 0.319],0.472,[22242 27379 36134 45053],32702,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,542,555,663,536,[0.602 0.576 0.551 0.005],0.4335,[241789 253145 264634 286953],261630,[0.646 0.525 0.398 0.319],0.472,[22242 27396 36139 45050],32706,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,504,551,624,523,[0.602 0.576 0.55 0.005],0.43325,[241873 253345 264747 286851],261704,[0.646 0.524 0.398 0.319],0.47175,[22256 27364 36114 45072],32701,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,539,544,656,518,[0.602 0.576 0.55 0.005],0.43325,[241970 253235 264840 286864],261727,[0.646 0.525 0.398 0.319],0.472,[22242 27364 36106 45061],32693,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,552,557,675,543,[0.602 0.576 0.551 0.005],0.4335,[242161 253135 264729 286748],261693,[0.646 0.525 0.398 0.319],0.472,[22243 27365 36139 44974],32680,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,551,559,649,543,[0.602 0.576 0.55 0.005],0.43325,[241974 253350 264734 286957],261753,[0.646 0.525 0.397 0.319],0.47175,[22241 27406 36133 45086],32716,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,559,565,615,536,[0.603 0.576 0.55 0.005],0.4335,[241791 253343 264732 286962],261707,[0.646 0.525 0.398 0.319],0.472,[22248 27362 36112 45024],32686,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,540,563,659,544,[0.602 0.575 0.551 0.005],0.43325,[242077 253354 264765 287063],261814,[0.646 0.525 0.398 0.319],0.472,[22260 27377 36115 45058],32702,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,535,560,653,526,[0.603 0.576 0.551 0.005],0.43375,[242051 253243 264737 286960],261747,[0.646 0.524 0.398 0.319],0.47175,[22259 27364 36137 45056],32704,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,557,566,625,543,[0.603 0.576 0.551 0.005],0.43375,[241881 253348 264733 286780],261685,[0.646 0.525 0.398 0.319],0.472,[22247 27377 36107 45069],32700,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,557,552,676,550,[0.602 0.576 0.55 0.005],0.43325,[242078 253240 264731 286863],261728,[0.646 0.524 0.398 0.319],0.47175,[22241 27407 36127 45044],32704,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,550,576,616,551,[0.603 0.576 0.551 0.005],0.43375,[241969 253348 264934 287064],261828,[0.646 0.524 0.398 0.319],0.47175,[22244 27380 36140 44975],32684,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,547,534,645,543,[0.602 0.576 0.551 0.005],0.4335,[241801 253244 264845 287055],261736,[0.646 0.524 0.398 0.319],0.47175,[22242 27378 36142 45049],32702,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,525,581,675,577,[0.603 0.575 0.55 0.005],0.43325,[241884 253172 264856 287045],261739,[0.646 0.525 0.398 0.319],0.472,[22249 27381 36140 45071],32710,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,564,571,666,551,[0.602 0.576 0.551 0.005],0.4335,[241892 253451 264747 286760],261712,[0.646 0.525 0.398 0.319],0.472,[22244 27364 36140 45026],32693,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,565,574,676,518,[0.602 0.575 0.551 0.005],0.43325,[241974 253346 264850 286956],261781,[0.646 0.525 0.398 0.319],0.472,[22244 27366 36138 45069],32704,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,561,544,657,546,[0.603 0.576 0.551 0.005],0.43375,[241853 253051 264729 286852],261621,[0.646 0.525 0.398 0.319],0.472,[22251 27365 36137 45063],32704,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,546,560,667,529,[0.602 0.575 0.551 0.005],0.43325,[241791 253161 264548 286859],261589,[0.646 0.524 0.398 0.319],0.47175,[22244 27366 36110 45094],32703,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,546,562,662,525,[0.602 0.576 0.551 0.005],0.4335,[241880 253288 264844 286956],261742,[0.646 0.524 0.398 0.319],0.47175,[22260 27377 36126 44999],32690,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,561,577,666,528,[0.602 0.576 0.55 0.005],0.43325,[242074 253264 264846 286857],261760,[0.646 0.525 0.398 0.319],0.472,[22258 27379 36141 45049],32706,,,,
