Application 1, Application 2, Application 3, Cores App 1, Cores App 2, Cores App 3, Parent Core App 1, Parent Core App 2, Parent Core App 3, Power Stripe 1, Power Stripe 2, Power Stripe 3, Power Stripe 4, Ratio App 1, Avg. Ratio 1, Time App 1, Avg. Time 1, Ratio App 2, Avg. Ratio 2, Time App 2, Avg. Time 2, Ratio App 3, Avg. Ratio 3, Time App 3, Avg. Time 3 
blur,,,[24 25 26 27],,,22,,,560,541,644,529,[125632 145900 145897 1694],104780,[221794 232313 242557 264453],240279,,,,,,,,





blur,,,[20 20 20 20],,,20,,,[145898 145898 145898 145898],145898,[145898 145898 145898 145898],145898,
blur,,,[20 20 20 20],,,20,,,85,638,567,101,[146023 125741 125805 1695],99816,[156725 145000 153864 175550],157784,,,,,,,,
blur,,,[20 20 20 20],,,20,,,82,637,550,94,[146023 125742 125804 1695],99816,[156725 145000 153866 175550],157785,,,,,,,,
blur,,,[20 20 20 20],,,20,,,85,639,549,94,[146023 125742 125805 1695],99816,[156725 145000 153866 175550],157785,,,,,,,,
blur,,,[20 20 20 20],,,20,,,83,639,556,95,[146023 125741 125803 1695],99815,[156725 145000 153861 175550],157784,,,,,,,,
blur,,,[20 20 20 20],,,20,,,83,636,547,93,[146022 125741 125805 1695],99815,[156722 145000 153864 175550],157784,,,,,,,,
blur,,,[20 20 20 20],,,20,,,84,637,547,94,[146023 125748 125798 1695],99816,[156722 145000 153861 175550],157783,,,,,,,,
blur,,,[20 20 20 20],,,20,,,85,638,553,96,[146022 125741 125803 1695],99815,[156722 145000 153864 175550],157784,,,,,,,,
blur,,,[20 20 20 20],,,20,,,83,637,541,92,[146022 125743 125805 1695],99816,[156722 145000 153866 175550],157784,,,,,,,,
blur,,,[20 20 20 20],,,20,,,83,638,547,94,[146023 125741 125803 1695],99815,[156725 145000 153858 175550],157783,,,,,,,,























blur,,,[23 23 23 23],,,20,,,83,633,539,91,[125818 145999 145989 1695],104875,[172709 202734 212859 235123],205856,,,,,,,,

blur,sobel,,[23 23 23 23],[23 24 24 24],,20,21,,86,646,566,100,[146093 125724 125756 1695],99817,[193110 181387 190266 212273],194259,[658 535 450 388],507,[21870 26864 31948 37052],29433,,,,


